+AF8-id,stop+AF8-name,stop+AF8-lat,stop+AF8-lon,location+AF8-type,parent+AF8-station,zone+AF8-id,wheelchair+AF8-boarding,MFL,BSS,NHSL
16126,12th St +ACY- Noble St ,39.960037,+AC0-75.158185,,,1,,,,
16110,12th St +ACY- Norris St ,39.982812,+AC0-75.153195,,,1,,,,
16590,12th St +ACY- Oregon Av,39.916522,+AC0-75.167709,,,1,,,,
16114,12th St +ACY- Oxford St,39.976862,+AC0-75.15453,,,1,,,,
16119,12th St +ACY- Parrish St ,39.968164,+AC0-75.156417,,,1,,,,
16499,12th St +ACY- Pine St ,39.945184,+AC0-75.161417,,,1,,,,
16118,12th St +ACY- Poplar St ,39.969377,+AC0-75.156165,,,1,,,,
16588,12th St +ACY- Porter St ,39.919065,+AC0-75.167192,,,1,,,,
16129,12th St +ACY- Race St ,39.955853,+AC0-75.159121,,,1,,,,
16514,12th St +ACY- Reed St ,39.932544,+AC0-75.164191,,,1,,,,
16124,12th St +ACY- Ridge Av ,39.962205,+AC0-75.157716,,,1,,,,
16587,12th St +ACY- Ritner St ,39.920287,+AC0-75.166904,,,1,,,,
16589,12th St +ACY- Shunk St ,39.917771,+AC0-75.167457,,,1,,,,
16577,12th St +ACY- Snyder Av ,39.924025,+AC0-75.166112,,,1,,,,
16501,12th St +ACY- South St ,39.94332,+AC0-75.161814,,,1,,,,
16498,12th St +ACY- Spruce St ,39.946629,+AC0-75.161116,,,1,,,,
16108,12th St +ACY- Susquehanna Av +AC0- FS,39.985657,+AC0-75.152606,,,1,,,,
16518,12th St +ACY- Tasker St ,39.9301,+AC0-75.164732,,,1,,,,
16117,12th St +ACY- Thompson St ,39.972812,+AC0-75.155431,,,1,,,,
16128,12th St +ACY- Vine St ,39.957673,+AC0-75.158725,,,1,,,,
16122,12th St +ACY- Wallace St ,39.96464,+AC0-75.157187,,,1,,,,
16132,12th St +ACY- Walnut St ,39.948967,+AC0-75.160624,,,1,,,,
1181,12th St +ACY- Washington Av,39.937495,+AC0-75.163111,,,1,,,,
16511,12th St +ACY- Wharton St,39.93373,+AC0-75.163939,,,1,,,,
16586,12th St +ACY- Wolf St ,39.921536,+AC0-75.16664,,,1,,,,
1721,13th St +ACY- Market St ,39.952681,+AC0-75.161235,,,7,,,,
2455,13th St Station,39.952021,+AC0-75.161462,,,1,1,1,,
283,13th St Trolley Station,39.952532,+AC0-75.162559,,,1,0,,,
29732,14 Campus Blvd,39.977779,+AC0-75.418138,,,1,,,,
29736,15 Campus Blvd +AC0- FS,39.978154,+AC0-75.418008,,,1,,,,
30014,15th +ACY- Esprey St +AC0- FS,39.859197,+AC0-75.363423,,,1,,,,
30010,15th +ACY- Esrey St,39.859037,+AC0-75.363364,,,1,,,,
25753,15th Av +ACY- Edgmont Av,39.859438,+AC0-75.362408,,,1,,,,
25621,15th St +ACY- Arbor Dr,39.858778,+AC0-75.364414,,,1,,,,
25752,15th St +ACY- Arbor Dr,39.858537,+AC0-75.364568,,,1,,,,
22063,15th St +ACY- Belfield Av ,40.024609,+AC0-75.1495,,,1,,,,
22062,15th St +ACY- Courtland St ,40.023074,+AC0-75.149837,,,1,,,,
2192,15th St +ACY- Highland Av,39.840059,+AC0-75.399909,,,1,,,,
515,15th St +ACY- Market St,39.952752,+AC0-75.165333,,,1,,,,
30828,15th St +ACY- Ranstead St,39.951641,+AC0-75.165538,,,1,,,,
25622,15th St +ACY- Shaw Terrace,39.858252,+AC0-75.365724,,,1,,,,
25751,15th St +ACY- Shaw Terrace,39.857967,+AC0-75.36596,,,1,,,,
25750,15th St +ACY- Upland Av,39.857343,+AC0-75.367375,,,1,,,,
15202,15th St +ACY- Washington Av,39.93814,+AC0-75.168492,,,1,,,,
1392,15th St Station,39.952502,+AC0-75.165298,,,1,,1,,
20659,15th St Trolley Station,39.952672,+AC0-75.165345,,,1,,,,
31140,15th St Trolley Station,39.952502,+AC0-75.165369,,,1,,,,
14934,16th St +ACY- Arch St +AC0- FS,39.954173,+AC0-75.166402,,,1,,,,
2654,16th St +ACY- Bainbridge St ,39.94311,+AC0-75.168887,,,1,,,,
2655,16th St +ACY- Berks St ,39.981998,+AC0-75.160406,,,1,,,,
26150,16th St +ACY- Brown St ,39.96809,+AC0-75.163434,,,1,,,,
18167,16th St +ACY- Butler St,40.011142,+AC0-75.154067,,,1,,,,
2657,16th St +ACY- Callowhill St ,39.959883,+AC0-75.165236,,,1,,,,
26146,16th St +ACY- Carpenter St ,39.939285,+AC0-75.169692,,,1,,,,
2658,16th St +ACY- Catherine St ,39.941085,+AC0-75.169343,,,1,,,,
2659,16th St +ACY- Cecil B Moore Av ,39.978909,+AC0-75.161089,,,1,,,,
3024,16th St +ACY- Cherry St,39.95561,+AC0-75.166137,,,1,,,,
2660,16th St +ACY- Chestnut St ,39.95114,+AC0-75.167146,,,1,,,,
15403,16th St +ACY- Christian St ,39.940302,+AC0-75.169488,,,1,,,,
22197,16th St +ACY- Courtland St ,40.023489,+AC0-75.151537,,,1,,,,
3026,16th St +ACY- Cumberland St ,39.991177,+AC0-75.158421,,,1,,,,
3027,16th St +ACY- Dauphin St ,39.988065,+AC0-75.159119,,,1,,,,
3028,16th St +ACY- Diamond St ,39.985056,+AC0-75.159779,,,1,,,,
3029,16th St +ACY- Dickinson St ,39.931995,+AC0-75.171312,,,1,,,,
3030,16th St +ACY- Ellsworth St ,39.937197,+AC0-75.17016,,,1,,,,
18166,16th St +ACY- Erie Av +AC0- FS,40.009813,+AC0-75.154356,,,1,,,,
3031,16th St +ACY- Fairmount Av,39.966918,+AC0-75.163672,,,1,,,,
3032,16th St +ACY- Federal St ,39.936153,+AC0-75.170376,,,1,,,,
3033,16th St +ACY- Fritzwater St ,39.942129,+AC0-75.169114,,,1,,,,
45,16th St +ACY- Girard Av,39.971737,+AC0-75.162628,,,1,,,,
3036,16th St +ACY- Hamilton St,39.961273,+AC0-75.164923,,,1,,,,
3037,16th St +ACY- Jackson St ,39.923522,+AC0-75.173161,,,1,,,,
3038,16th St +ACY- Jefferson St ,39.976136,+AC0-75.161703,,,1,,,,
3040,16th St +ACY- JFK Blvd ,39.953654,+AC0-75.166569,,,1,,,,
3042,16th St +ACY- Locust St ,39.948535,+AC0-75.167698,,,1,,,,
15404,16th St +ACY- Lombard St ,39.945003,+AC0-75.168479,,,1,,,,
21213,16th St +ACY- Market St ,39.952639,+AC0-75.166798,,,1,,,,
3044,16th St +ACY- Master St ,39.974772,+AC0-75.162003,,,1,,,,
3045,16th St +ACY- McKean St ,39.925948,+AC0-75.172609,,,1,,,,
3046,16th St +ACY- Mifflin St ,39.927134,+AC0-75.172321,,,1,,,,
3047,16th St +ACY- Montgomery Av ,39.980542,+AC0-75.160741,,,1,,,,
3048,16th St +ACY- Moore St ,39.928392,+AC0-75.172045,,,1,,,,
