_id.stationId,_id.outageYear,_id.outageMonth,_id.outageDay,stop_name,line_code
"2449","2014","10","17","56th St Station","MFL"
"2449","2014","10","18","56th St Station","MFL"
"2449","2014","11","20","56th St Station","MFL"
"2449","2014","11","23","56th St Station","MFL"
"2449","2014","11","24","56th St Station","MFL"
"2449","2014","11","25","56th St Station","MFL"
"2449","2014","12","08","56th St Station","MFL"
"2449","2014","12","09","56th St Station","MFL"
"2449","2014","12","10","56th St Station","MFL"
"2449","2014","12","24","56th St Station","MFL"
"2449","2014","12","25","56th St Station","MFL"
"2450","2014","05","19","52nd St Station","MFL"
"2450","2014","05","24","52nd St Station","MFL"
"2450","2014","05","25","52nd St Station","MFL"
"2450","2014","06","12","52nd St Station","MFL"
"2450","2014","06","13","52nd St Station","MFL"
"2450","2014","06","16","52nd St Station","MFL"
"2450","2014","06","30","52nd St Station","MFL"
"2450","2014","07","19","52nd St Station","MFL"
"2450","2014","07","20","52nd St Station","MFL"
"2450","2014","07","30","52nd St Station","MFL"
"2450","2014","08","08","52nd St Station","MFL"
"2450","2014","08","09","52nd St Station","MFL"
"2450","2014","08","10","52nd St Station","MFL"
"2450","2014","08","11","52nd St Station","MFL"
"2450","2014","08","19","52nd St Station","MFL"
"2450","2014","08","20","52nd St Station","MFL"
"2450","2014","08","28","52nd St Station","MFL"
"2450","2014","08","29","52nd St Station","MFL"
"2450","2014","09","10","52nd St Station","MFL"
"2450","2014","09","11","52nd St Station","MFL"
"2450","2014","09","23","52nd St Station","MFL"
"2450","2014","09","26","52nd St Station","MFL"
"2450","2014","10","07","52nd St Station","MFL"
"2450","2014","12","10","52nd St Station","MFL"
"2450","2014","12","31","52nd St Station","MFL"
"2450","2015","01","01","52nd St Station","MFL"
"2451","2014","06","05","46th St Station","MFL"
"2451","2014","06","06","46th St Station","MFL"
"2451","2014","06","08","46th St Station","MFL"
"2451","2014","06","09","46th St Station","MFL"
"2451","2014","06","10","46th St Station","MFL"
"2451","2014","06","17","46th St Station","MFL"
"2451","2014","06","18","46th St Station","MFL"
"2451","2014","08","12","46th St Station","MFL"
"2451","2014","08","13","46th St Station","MFL"
"2451","2014","08","14","46th St Station","MFL"
"2451","2014","08","19","46th St Station","MFL"
"2451","2014","09","15","46th St Station","MFL"
"2451","2014","09","16","46th St Station","MFL"
"2451","2014","09","30","46th St Station","MFL"
"2451","2014","10","01","46th St Station","MFL"
"2451","2014","11","04","46th St Station","MFL"
"2451","2014","11","05","46th St Station","MFL"
"2451","2014","11","25","46th St Station","MFL"
"2451","2014","12","12","46th St Station","MFL"
"2455","2014","05","24","13th St Station","MFL"
"2455","2014","05","25","13th St Station","MFL"
"2455","2014","05","26","13th St Station","MFL"
"2455","2014","07","05","13th St Station","MFL"
"2455","2014","07","17","13th St Station","MFL"
"2455","2014","07","31","13th St Station","MFL"
"2455","2014","08","05","13th St Station","MFL"
"2455","2014","08","20","13th St Station","MFL"
"2455","2014","09","10","13th St Station","MFL"
"2455","2014","09","11","13th St Station","MFL"
"2455","2014","10","07","13th St Station","MFL"
"2455","2014","10","08","13th St Station","MFL"
"2455","2014","10","09","13th St Station","MFL"
"2455","2014","10","10","13th St Station","MFL"
"2455","2014","11","15","13th St Station","MFL"
"2455","2015","01","02","13th St Station","MFL"
"2457","2014","07","27","8th St Station","MFL"
"2457","2014","09","26","8th St Station","MFL"
"2457","2014","09","27","8th St Station","MFL"
"2457","2014","11","14","8th St Station","MFL"
"2457","2014","11","21","8th St Station","MFL"
"2457","2014","12","12","8th St Station","MFL"
"2458","2014","05","26","5th St Station","MFL"
"2458","2014","05","27","5th St Station","MFL"
"2458","2014","06","18","5th St Station","MFL"
"2458","2014","09","30","5th St Station","MFL"
"2458","2014","10","01","5th St Station","MFL"
"2458","2014","11","22","5th St Station","MFL"
"2458","2014","11","23","5th St Station","MFL"
"2460","2014","09","24","Berks Station","MFL"
"2460","2014","11","14","Berks Station","MFL"
"2460","2014","11","22","Berks Station","MFL"
"2460","2014","12","27","Berks Station","MFL"
"2460","2014","12","28","Berks Station","MFL"
